Title,Rooms,Price,Type,Location,Link,Broker,Bedrooms,Bathrooms,Neighborhood,City,region
excelente propiedad comercial para in...,3 Cuartos | 3 Baños,225000.0,Comercial,"Barrio-Pueblo , Aguas Buenas",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4825589,Pueblo de Batista Realty Group,3,3,Barrio-Pueblo,Aguas Buenas, east
Enorme propiedad Trujillo Alto,5 Cuartos | 3 Baños,490000.0,Casa,"Barrio-Gonzalez , Trujillo Alto",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4822458,Gonzalez de Orlando Rios,5,3,Barrio-Gonzalez,Trujillo Alto, metro
"Urb. Montecasino Heights, Toa Alta",4 Cuartos | 2 Baños,299995.0,Casa,"Urbanizacion-Montecasino Heights , Toa Alta",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4826616,Montecasino Heights de RE/MAX Dorado Realty,4,2,Urbanizacion-Montecasino Heights,Toa Alta, north
Bo. Montellano,,78000.0,Solar,"Barrio-Montellano , Cayey",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4836598,Montellano de ESPACIO VITAL PR PROPERTIES,0,0,Barrio-Montellano,Cayey, east
Land in Prestigious Surf Area in Sand...,,250000.0,Solar,"Sector-Punta Rincon , Rincón",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4823639,Punta Rincon de Fox Realty,0,0,Sector-Punta Rincon,Rincón, west
*****GARDEN HILLS NORTH******,5 Cuartos | 4 Baños,1600000.0,Casa,"Urbanizacion-Garden Hills , Guaynabo",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4812860,Garden Hills de Kokopelli Real Estate,5,4,Urbanizacion-Garden Hills,Guaynabo, metro
"Solar ubicado en Bo. Buena Vista, Hat...",,120000.0,Solar,"Barrio-Buena Vista , Hatillo",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4786635,Buena Vista de Home Connection,0,0,Barrio-Buena Vista,Hatillo, north
250 Cuerdas Inmensa Finca en Venta,,1900000.0,Finca,"Barrio-Torrecillas , Morovis",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4733061,Torrecillas de Unlimited Realty Group,0,0,Barrio-Torrecillas,Morovis, north
NEGOCIO CON CLIENTELA OPERANDO EXITOS...,1 Baños,35000.0,Comercial,"Urbanizacion-Sagrado Corazon , Guánica",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4838405,No Broker,0,0,Urbanizacion-Sagrado Corazon,Guánica, south
Playa Jobos finca 10 Cdas frente carr...,,900000.0,Finca,"Barrio-Jobos , Isabela",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4807226,Jobos de Sandra Torres Real Estate,0,0,Barrio-Jobos,Isabela, west
"La Parguera, Lajas",4 Cuartos | 2 Baños,390000.0,Casa,"Barrio-La Parguera , Lajas",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4797313,La Parguera de Best Properties Realty Group,4,2,Barrio-La Parguera,Lajas, west
Experience Luxury Living in Condado R...,2 Cuartos | 2 Baños,898000.0,Apartamento,"Condominio-Condado Real , San Juan - Condado-Miramar",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4827291,Condado Real de PuertoRicoYourHome.Com,2,2,Condominio-Condado Real,San Juan - Condado-Miramar, metro
"COND. PRILA, NUEVO, GENERADOR, VISTA!",3 Cuartos | 2 Baños,895000.0,Apartamento,"Condominio-Prila , San Juan - Condado-Miramar",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4837305,Prila de CARMEN RODRIGUEZ REALTY,3,2,Condominio-Prila,San Juan - Condado-Miramar, metro
PLAYA CORCEGA RINCON SUPER NUEVO PREC...,2 Cuartos | 1 Baños,310000.0,Apartamento,"Condominio-Costa Corcega , Rincón",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4806415,Costa Corcega de TRANS GLOBAL REALTY GROUP,2,1,Condominio-Costa Corcega,Rincón, west
Cond. Aquablue - Stunning Garden Unit ,2 Cuartos | 2 Baños,895000.0,Apartamento,"Condominio-Aquablue , San Juan - Hato Rey",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4817217,Aquablue de Elite Realty LLC,2,2,Condominio-Aquablue,San Juan - Hato Rey, metro
 Piñones - DEEDED OCEAN FRONT PROPETY ,,1050000.0,Solar,"Barrio-Pinones , Loíza",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4608100,Pinones de BM REALTY,0,0,Barrio-Pinones,Loíza, metro
Urb Alturas de la Placita ,>= 6 Cuartos | 3 Baños,160000.0,Casa,"Urbanizacion-Alturas De La Placita , Juncos",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4838403,No Broker,6,3,Urbanizacion-Alturas De La Placita,Juncos, east
MAR CHIQUITA OCEAN VIEW,3 Cuartos | 2 Baños,365000.0,Apt/WalkUp,"Condominio-Mar Chiquita Ocean View , Manatí",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4817386,Mar Chiquita Ocean View de PUERTO RICO PROPERTY MARKET,3,2,Condominio-Mar Chiquita Ocean View,Manatí, north
VISTA AL MAR 3 H Y 1 B.  CAMINAS A LA...,3 Cuartos | 2 Baños,499995.0,Casa,"Sector-Crash Boat , Aguadilla",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4804657,Crash Boat de 1RUIZ REALTY GROUP,3,2,Sector-Crash Boat,Aguadilla, west
**NUEVO EN EL MERCADO** EXCELENTE OPO...,5 Cuartos | 2 Baños,249900.0,Casa,"Barrio-Dona Elena , Comerío",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4824668,Dona Elena de BLUE PRINT FIRM INC.,5,2,Barrio-Dona Elena,Comerío, east
Beach Village IV,2 Cuartos | 2 Baños,539000.0,Apartamento,"Condominio-Beach Village , Humacao - Palmas",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4824641,Beach Village de BLACKTIE,2,2,Condominio-Beach Village,Humacao - Palmas, east
SABANA HOYOS- VENTA CASH,4 Cuartos | 2 Baños,104995.0,Casa,"Barrio-Sabana Hoyos , Arecibo",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4838029,Sabana Hoyos de My House Realty,4,2,Barrio-Sabana Hoyos,Arecibo, north
Nueva en el Mercado 2 niveles - 4 hab...,4 Cuartos | 2 Baños,290000.0,Casa,"Urbanizacion-Mansiones De Juncos , Juncos",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4833899,Mansiones De Juncos de ODV Realty,4,2,Urbanizacion-Mansiones De Juncos,Juncos, east
Kings Court PRICE IMPROVEMENT,2 Cuartos | 2 Baños,650000.0,Apartamento,"Condominio-Kings Court 80 , San Juan - Santurce",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4819788,Kings Court 80 de PUERTO RICO CORPORATE RENTALS,2,2,Condominio-Kings Court 80,San Juan - Santurce, metro
Urb Country Club 4ta sección,4 Cuartos | 4 Baños,275000.0,Casa,"Urbanizacion-Country Club , Carolina",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4816265,Country Club de JK Realty,4,4,Urbanizacion-Country Club,Carolina, metro
Jardines De Caparra 4hab-2.5 baños  $...,4 Cuartos | 2 Baños,159900.0,Casa,"Urbanizacion-Jardines De Caparra , Bayamón",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4838242,Jardines De Caparra de Palito Realty,4,2,Urbanizacion-Jardines De Caparra,Bayamón, metro
Local Comercial en el Corazon de Isla...,5 Cuartos | 2 Baños,425000.0,Comercial,"Condominio-Tropicana , Carolina - Isla Verde",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4822468,Tropicana de HEYLIGER REAL ESTATE,5,2,Condominio-Tropicana,Carolina - Isla Verde, metro
 La casa que buscas y perfecta para a...,3 Cuartos | 1 Baños,159000.0,Casa,"Barrio-Cintron, Luis M. Cintron , Fajardo",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4815046,"Cintron, Luis M. Cintron de ODV Realty",3,1,Barrio-Cintron,"Luis M. Cintron , Fajardo", east
"FOR SALE|17 ACRES |BO. CIDRAL, SAN SE...",,295000.0,Finca,"Barrio-Cidral , San Sebastián",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4817221,Cidral de InvEstate Puerto Rico,0,0,Barrio-Cidral,San Sebastián, west
